id,name,apiName,category,effect,target,status,reason
1,Pound,pound,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
2,Karate Chop,karate-chop,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
3,Double Slap,double-slap,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
4,Comet Punch,comet-punch,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
5,Mega Punch,mega-punch,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
6,Pay Day,pay-day,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
7,Fire Punch,fire-punch,physical,Burn,selected-pokemon,implemented,effect handler present: burn
8,Ice Punch,ice-punch,physical,Freeze,selected-pokemon,implemented,effect handler present: freeze
9,Thunder Punch,thunder-punch,physical,Paralyze,selected-pokemon,implemented,effect handler present: paralyze
10,Scratch,scratch,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
11,Vice Grip,vice-grip,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
12,Guillotine,guillotine,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
13,Razor Wind,razor-wind,special,None,all-opponents,partial,base damage path likely works; special mechanic not confirmed
14,Swords Dance,swords-dance,status,StatChange,user,implemented,effect handler present: statchange
15,Cut,cut,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
16,Gust,gust,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
17,Wing Attack,wing-attack,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
18,Whirlwind,whirlwind,status,None,selected-pokemon,todo,no explicit mechanic handler
19,Fly,fly,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
20,Bind,bind,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
21,Slam,slam,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
22,Vine Whip,vine-whip,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
23,Stomp,stomp,physical,Flinch,selected-pokemon,implemented,effect handler present: flinch
24,Double Kick,double-kick,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
25,Mega Kick,mega-kick,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
26,Jump Kick,jump-kick,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
27,Rolling Kick,rolling-kick,physical,Flinch,selected-pokemon,implemented,effect handler present: flinch
28,Sand Attack,sand-attack,status,None,selected-pokemon,implemented,hardcoded name rule present
29,Headbutt,headbutt,physical,Flinch,selected-pokemon,implemented,effect handler present: flinch
30,Horn Attack,horn-attack,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
31,Fury Attack,fury-attack,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
32,Horn Drill,horn-drill,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
33,Tackle,tackle,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
34,Body Slam,body-slam,physical,Paralyze,selected-pokemon,implemented,effect handler present: paralyze
35,Wrap,wrap,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
36,Take Down,take-down,physical,Recoil,selected-pokemon,implemented,effect handler present: recoil
37,Thrash,thrash,physical,None,random-opponent,partial,base damage path likely works; special mechanic not confirmed
38,Double Edge,double-edge,physical,Recoil,selected-pokemon,implemented,effect handler present: recoil
39,Tail Whip,tail-whip,status,StatChange,all-opponents,partial,multi-target semantic may differ in singles-first mode
40,Poison Sting,poison-sting,physical,Poison,selected-pokemon,implemented,effect handler present: poison
41,Twineedle,twineedle,physical,Poison,selected-pokemon,implemented,effect handler present: poison
42,Pin Missile,pin-missile,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
43,Leer,leer,status,StatChange,all-opponents,partial,multi-target semantic may differ in singles-first mode
44,Bite,bite,physical,Flinch,selected-pokemon,implemented,effect handler present: flinch
45,Growl,growl,status,StatChange,all-opponents,partial,multi-target semantic may differ in singles-first mode
46,Roar,roar,status,None,selected-pokemon,todo,no explicit mechanic handler
47,Sing,sing,status,Sleep,selected-pokemon,implemented,effect handler present: sleep
48,Supersonic,supersonic,status,None,selected-pokemon,todo,no explicit mechanic handler
49,Sonic Boom,sonic-boom,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
50,Disable,disable,status,None,selected-pokemon,todo,no explicit mechanic handler
51,Acid,acid,special,StatChange,all-opponents,partial,multi-target semantic may differ in singles-first mode
52,Ember,ember,special,Burn,selected-pokemon,implemented,effect handler present: burn
53,Flamethrower,flamethrower,special,Burn,selected-pokemon,implemented,effect handler present: burn
54,Mist,mist,status,None,users-field,todo,no explicit mechanic handler
55,Water Gun,water-gun,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
56,Hydro Pump,hydro-pump,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
57,Surf,surf,special,None,all-other-pokemon,partial,base damage path likely works; special mechanic not confirmed
58,Ice Beam,ice-beam,special,Freeze,selected-pokemon,implemented,effect handler present: freeze
59,Blizzard,blizzard,special,Freeze,all-opponents,partial,multi-target semantic may differ in singles-first mode
60,Psybeam,psybeam,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
61,Bubble Beam,bubble-beam,special,StatChange,selected-pokemon,implemented,effect handler present: statchange
62,Aurora Beam,aurora-beam,special,StatChange,selected-pokemon,implemented,effect handler present: statchange
63,Hyper Beam,hyper-beam,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
64,Peck,peck,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
65,Drill Peck,drill-peck,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
66,Submission,submission,physical,Recoil,selected-pokemon,implemented,effect handler present: recoil
67,Low Kick,low-kick,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
68,Counter,counter,physical,None,specific-move,partial,base damage path likely works; special mechanic not confirmed
69,Seismic Toss,seismic-toss,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
70,Strength,strength,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
71,Absorb,absorb,special,Drain,selected-pokemon,implemented,effect handler present: drain
72,Mega Drain,mega-drain,special,Drain,selected-pokemon,implemented,effect handler present: drain
73,Leech Seed,leech-seed,status,None,selected-pokemon,implemented,hardcoded name rule present
74,Growth,growth,status,StatChange,user,implemented,effect handler present: statchange
75,Razor Leaf,razor-leaf,physical,None,all-opponents,partial,base damage path likely works; special mechanic not confirmed
76,Solar Beam,solar-beam,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
77,Poison Powder,poison-powder,status,Poison,selected-pokemon,implemented,effect handler present: poison
78,Stun Spore,stun-spore,status,Paralyze,selected-pokemon,implemented,effect handler present: paralyze
79,Sleep Powder,sleep-powder,status,Sleep,selected-pokemon,implemented,effect handler present: sleep
80,Petal Dance,petal-dance,special,None,random-opponent,partial,base damage path likely works; special mechanic not confirmed
81,String Shot,string-shot,status,StatChange,all-opponents,partial,multi-target semantic may differ in singles-first mode
82,Dragon Rage,dragon-rage,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
83,Fire Spin,fire-spin,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
84,Thunder Shock,thunder-shock,special,Paralyze,selected-pokemon,implemented,effect handler present: paralyze
85,Thunderbolt,thunderbolt,special,Paralyze,selected-pokemon,implemented,effect handler present: paralyze
86,Thunder Wave,thunder-wave,status,Paralyze,selected-pokemon,implemented,effect handler present: paralyze
87,Thunder,thunder,special,Paralyze,selected-pokemon,implemented,effect handler present: paralyze
88,Rock Throw,rock-throw,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
89,Earthquake,earthquake,physical,None,all-other-pokemon,implemented,hardcoded name rule present
90,Fissure,fissure,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
91,Dig,dig,physical,None,selected-pokemon,implemented,hardcoded name rule present
92,Toxic,toxic,status,Poison,selected-pokemon,implemented,effect handler present: poison
93,Confusion,confusion,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
94,Psychic,psychic,special,StatChange,selected-pokemon,implemented,effect handler present: statchange
95,Hypnosis,hypnosis,status,Sleep,selected-pokemon,implemented,effect handler present: sleep
96,Meditate,meditate,status,StatChange,user,implemented,effect handler present: statchange
97,Agility,agility,status,StatChange,user,implemented,effect handler present: statchange
98,Quick Attack,quick-attack,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
99,Rage,rage,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
100,Teleport,teleport,status,None,user,todo,no explicit mechanic handler
101,Night Shade,night-shade,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
102,Mimic,mimic,status,None,selected-pokemon,implemented,hardcoded name rule present
103,Screech,screech,status,StatChange,selected-pokemon,implemented,effect handler present: statchange
104,Double Team,double-team,status,None,user,todo,no explicit mechanic handler
105,Recover,recover,status,None,user,implemented,hardcoded name rule present
106,Harden,harden,status,StatChange,user,implemented,effect handler present: statchange
107,Minimize,minimize,status,None,user,todo,no explicit mechanic handler
108,Smokescreen,smokescreen,status,None,selected-pokemon,implemented,hardcoded name rule present
109,Confuse Ray,confuse-ray,status,None,selected-pokemon,todo,no explicit mechanic handler
110,Withdraw,withdraw,status,StatChange,user,implemented,effect handler present: statchange
111,Defense Curl,defense-curl,status,StatChange,user,implemented,effect handler present: statchange
112,Barrier,barrier,status,StatChange,user,implemented,effect handler present: statchange
113,Light Screen,light-screen,status,None,users-field,partial,multi-target semantic may differ in singles-first mode
114,Haze,haze,status,None,entire-field,implemented,hardcoded name rule present
115,Reflect,reflect,status,None,users-field,partial,multi-target semantic may differ in singles-first mode
116,Focus Energy,focus-energy,status,None,user,todo,no explicit mechanic handler
117,Bide,bide,physical,None,user,partial,base damage path likely works; special mechanic not confirmed
118,Metronome,metronome,status,None,user,todo,no explicit mechanic handler
119,Mirror Move,mirror-move,status,None,selected-pokemon,todo,no explicit mechanic handler
120,Self Destruct,self-destruct,physical,None,all-other-pokemon,partial,base damage path likely works; special mechanic not confirmed
121,Egg Bomb,egg-bomb,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
122,Lick,lick,physical,Paralyze,selected-pokemon,implemented,effect handler present: paralyze
123,Smog,smog,special,Poison,selected-pokemon,implemented,effect handler present: poison
124,Sludge,sludge,special,Poison,selected-pokemon,implemented,effect handler present: poison
125,Bone Club,bone-club,physical,Flinch,selected-pokemon,implemented,effect handler present: flinch
126,Fire Blast,fire-blast,special,Burn,selected-pokemon,implemented,effect handler present: burn
127,Waterfall,waterfall,physical,Flinch,selected-pokemon,implemented,effect handler present: flinch
128,Clamp,clamp,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
129,Swift,swift,special,None,all-opponents,partial,base damage path likely works; special mechanic not confirmed
130,Skull Bash,skull-bash,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
131,Spike Cannon,spike-cannon,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
132,Constrict,constrict,physical,StatChange,selected-pokemon,implemented,effect handler present: statchange
133,Amnesia,amnesia,status,StatChange,user,implemented,effect handler present: statchange
134,Kinesis,kinesis,status,None,selected-pokemon,todo,no explicit mechanic handler
135,Soft Boiled,soft-boiled,status,None,user,implemented,hardcoded name rule present
136,High Jump Kick,high-jump-kick,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
137,Glare,glare,status,Paralyze,selected-pokemon,implemented,effect handler present: paralyze
138,Dream Eater,dream-eater,special,Drain,selected-pokemon,implemented,effect handler present: drain
139,Poison Gas,poison-gas,status,Poison,all-opponents,partial,multi-target semantic may differ in singles-first mode
140,Barrage,barrage,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
141,Leech Life,leech-life,physical,Drain,selected-pokemon,implemented,effect handler present: drain
142,Lovely Kiss,lovely-kiss,status,Sleep,selected-pokemon,implemented,effect handler present: sleep
143,Sky Attack,sky-attack,physical,Flinch,selected-pokemon,implemented,effect handler present: flinch
144,Transform,transform,status,None,selected-pokemon,implemented,hardcoded name rule present
145,Bubble,bubble,special,StatChange,all-opponents,partial,multi-target semantic may differ in singles-first mode
146,Dizzy Punch,dizzy-punch,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
147,Spore,spore,status,Sleep,selected-pokemon,implemented,effect handler present: sleep
148,Flash,flash,status,None,selected-pokemon,implemented,hardcoded name rule present
